A00307076,10481,EDU,EDU221
A00307076,10553,AIMS,AIMS091
A00307076,10188,AST,AST101
A00315752,10548,EDU,EDU275
A00315752,10188,AST,AST101
A00315752,10553,AIMS,AIMS091
A00315752,10527,AIMS,AIMS250
A00315752,10549,EDU,EDU275
A00272664,10006,ECO,ECO202
A00272664,10166,PSY,PSY101
A00272664,10188,AST,AST101
A00304096,10478,COM,COM115
A00307320,10140,CSC,CSC119
A00314276,10246,BIO,BIO105
A00314276,10003,ANT,ANT101
A00329801,10474,CIO,CIO076
A00310329,10326,NUA,NUA101
A00310329,10061,HWE,HWE100
A00310329,10333,NUA,NUA170
A00323300,10209,HPR,HPR112
A00281863,10006,ECO,ECO202
A00281863,10268,PHI,PHI113
A00300649,10438,WEL,WEL230
A00300649,10449,WEL,WEL231
A00329514,10191,CHE,CHE101
A00318099,10066,HWE,HWE100
A00137159,10074,MAT,MAT121
A00303392,10289,BIO,BIO106
A00307083,10032,BTE,BTE111
A00307083,10209,HPR,HPR112
A00316072,10133,COM,COM115
A00316072,10015,HIS,HIS225
A00314488,10265,PHI,PHI111
A00314488,10034,POS,POS111
A00328044,10474,CIO,CIO076
A00303491,10110,ENG,ENG121
A00237086,10531,HPR,HPR178
A00325560,10057,MAT,MAT107
A00325560,10245,BIO,BIO105
A00304684,10050,MAT,MAT121
A00173507,10236,AAA,AAA090
A00284248,10051,MAT,MAT050
A00181827,10271,HPR,HPR137
A00137147,10105,EMS,EMS280
A00137147,10107,EMS,EMS281
A00329123,10420,ELT,ELT258
A00285842,10082,CIS,CIS118
A00298348,10165,PSY,PSY101
A00183317,10034,POS,POS111
A00303263,10108,ENG,ENG121
A00303263,10236,AAA,AAA090
A00303263,10051,MAT,MAT050
A00317295,10030,BTE,BTE108
A00302590,10039,BTE,BTE255
A00312712,10170,PSY,PSY235
A00312712,10133,COM,COM115
A00298517,10168,PSY,PSY102
A00298517,10140,CSC,CSC119
A00327803,10369,AAA,AAA090
A00327803,10091,CIS,CIS118
A00327803,10057,MAT,MAT107
A00308444,10256,HUM,HUM115
A00308444,10265,PHI,PHI111
A00322203,10047,BUS,BUS216
A00322203,10040,BUS,BUS115
A00322203,10010,HIS,HIS101
A00297286,10479,GEO,GEO105
A00303852,10479,GEO,GEO105
A00308330,10373,AVT,AVT202
A00315895,10326,NUA,NUA101
A00315895,10333,NUA,NUA170
A00320285,10479,GEO,GEO105
A00304090,10551,BUS,BUS226
A00304090,10046,BUS,BUS216
A00304090,10071,ACC,ACC122
A00319915,10022,PED,PED140
A00322640,10024,PED,PED143
A00328232,10481,EDU,EDU221
A00328232,10037,SOC,SOC218
A00328232,10246,BIO,BIO105
A00330139,10024,PED,PED143
A00059966,10024,PED,PED143
A00307324,10256,HUM,HUM115
A00307324,10188,AST,AST101
A00328721,10197,RTE,RTE250
A00268591,10365,ECE,ECE111
A00263595,10335,ART,ART207
A00263595,10169,PSY,PSY235
A00263595,10199,GEY,GEY111
A00263595,10296,MUS,MUS141
A00329116,10550,MAT,MAT135
A00276316,10009,HIS,HIS101
A00276316,10399,SPA,SPA101
A00276324,10236,AAA,AAA090
A00276324,10051,MAT,MAT050
A00093650,10010,HIS,HIS101
A00093650,10403,ASL,ASL101
A00325910,10108,ENG,ENG121
A00325910,10125,COM,COM115
A00325910,10500,AIMS,AIMS1111
A00318319,10386,PSY,PSY101
A00311394,10271,HPR,HPR137
A00317944,10006,ECO,ECO202
A00298066,10076,MAT,MAT201
A00306489,10238,BIO,BIO111
A00306489,10301,NUA,NUA101
A00306489,10277,HPR,HPR178
A00306489,10328,NUA,NUA170
A00324840,10277,HPR,HPR178
A00324840,10166,PSY,PSY101
A00307104,10056,MAT,MAT055
A00307104,10041,BUS,BUS115
A00116346,10044,PED,PED163
A00310558,10091,CIS,CIS118
A00310558,10110,ENG,ENG121
A00306125,10555,ENG,ENG122
A00309903,10003,ANT,ANT101
A00309903,10037,SOC,SOC218
A00309903,10168,PSY,PSY102
A00309903,10202,PHY,PHY105
A00277394,10266,PHI,PHI112
A00277394,10118,ENG,ENG122
A00277394,10011,HIS,HIS102
A00310789,10147,ART,ART139
A00310789,10322,ART,ART121
A00329744,10090,ENG,ENG121
A00264766,10107,EMS,EMS281
A00264766,10105,EMS,EMS280
A00329074,10420,ELT,ELT258
A00317426,10247,ASE,ASE235
A00317426,10243,ASE,ASE231
A00317426,10244,ASE,ASE233
A00322921,10061,HWE,HWE100
A00322921,10053,MAT,MAT050
A00322894,10273,MAT,MAT107
A00328088,10011,HIS,HIS102
A00328088,10119,ENG,ENG122
A00307906,10145,ART,ART139
A00307906,10261,HUM,HUM122
A00309105,10540,MAT,MAT121
A00315470,10054,MAT,MAT055
A00316938,10034,POS,POS111
A00316938,10003,ANT,ANT101
A00316938,10141,ART,ART139
A00322952,10135,ENG,ENG221
A00322952,10337,ART,ART221
A00205444,10052,MAT,MAT050
A00205444,10258,HWE,HWE100
A00269533,10318,ART,ART110
A00269533,10016,HIS,HIS225
A00269533,10384,PSY,PSY101
A00306630,10036,SOC,SOC101
A00306630,10127,COM,COM125
A00324811,10289,BIO,BIO106
A00311482,10147,ART,ART139
A00323889,10127,COM,COM125
A00323889,10329,NUA,NUA170
A00323889,10276,HPR,HPR178
A00323889,10302,NUA,NUA101
A00314649,10478,COM,COM115
A00326242,10480,LIT,LIT255
A00326242,10012,HIS,HIS121
A00330786,10564,CIO,CIO076
A00322695,10316,ART,ART110
A00322695,10081,CIS,CIS118
A00322695,10349,COM,COM125
A00325082,10109,ENG,ENG121
