A00324809,20799,AST,AST101
A00324809,20929,ENG,ENG122
A00324809,20959,CIS,CIS118
A00298800,21272,GEY,GEY112
A00216963,20931,ACC,ACC211
A00216963,21815,SPA,SPA111
A00329949,20846,MGD,MGD111
A00329949,20847,MGD,MGD211
A00272664,20282,PSY,PSY102
A00272664,20371,SOC,SOC216
A00318267,21109,CIE,CIE090
A00325794,20878,BUS,BUS115
A00314276,20774,HPR,HPR112
A00207237,21838,MAT,MAT050
A00207237,21860,AAA,AAA090
A00318849,21709,MUS,MUS120
A00321788,20861,PSY,PSY227
A00321788,20943,MAN,MAN205
A00321788,20947,MAN,MAN230
A00321788,21083,AAA,AAA090
A00316066,20416,ENG,ENG121
A00327503,21083,AAA,AAA090
A00329485,21748,CRJ,CRJ110
A00329485,21749,CRJ,CRJ125
A00330586,20316,HIS,HIS121
A00330586,20791,ETH,ETH200
A00330586,21686,MAT,MAT050
A00330586,21758,AAA,AAA090
A00298509,20022,CRJ,CRJ110
A00307080,20450,MAT,MAT107
A00307080,20840,MGD,MGD119
A00307080,20841,MGD,MGD219
A00307080,21541,MGD,MGD280
A00318453,20311,HIS,HIS102
A00318453,20570,HUM,HUM115
A00318453,20639,PHI,PHI111
A00318453,20913,ENG,ENG122
A00331297,21109,CIE,CIE090
A00271238,20670,COM,COM115
A00327029,21877,SOC,SOC101
A00326415,20316,HIS,HIS121
A00326415,20426,MAT,MAT055
A00326415,21290,PSY,PSY101
A00326415,21758,AAA,AAA090
A00310329,20066,MAT,MAT135
A00310329,20592,MUS,MUS120
A00310329,20855,BIO,BIO105
A00310329,20927,ENG,ENG122
A00330967,20208,PSY,PSY227
A00330967,20570,HUM,HUM115
A00330967,20675,COM,COM125
A00321642,21265,HPR,HPR111
A00321642,21271,HPR,HPR178
A00321642,21276,HWE,HWE122
A00326842,20858,PSY,PSY235
A00326842,21057,BIO,BIO105
A00324663,20304,GEO,GEO105
A00324663,21195,AVT,AVT103
A00324663,21197,AVT,AVT105
A00324663,21782,MAT,MAT055
A00303824,20778,HPR,HPR178
A00303824,21072,BIO,BIO106
A00315231,20203,PSY,PSY101
A00315231,20430,MAT,MAT121
A00315231,20592,MUS,MUS120
A00315231,21581,AIMS,AIMS1122
A00299949,20436,PSY,PSY235
A00299949,20465,ANT,ANT101
A00299949,20696,SOC,SOC231
A00299949,21875,HUM,HUM121
A00213625,20985,NUR,NUR206
A00213625,20990,NUR,NUR211
A00213625,20991,NUR,NUR212
A00323300,20775,HPR,HPR180
A00310873,20297,ECO,ECO201
A00310873,20593,MUS,MUS121
A00310873,20916,ACC,ACC121
A00310873,21851,ENG,ENG121
A00318157,21344,WEL,WEL204
A00318157,21355,WEL,WEL224
A00318157,21366,WEL,WEL230
A00326914,20066,MAT,MAT135
A00326914,20364,ENG,ENG121
A00326914,20398,CCR,CCR094
A00326914,20731,AAA,AAA090
A00326914,20858,PSY,PSY235
A00316068,20074,MAT,MAT155
A00316068,20582,LIT,LIT115
A00316068,20859,PSY,PSY238
A00316068,21071,BIO,BIO105
A00329959,20081,MAT,MAT107
A00329959,20281,PSY,PSY101
A00202772,20143,ACT,ACT231
A00202772,20144,ACT,ACT171
A00202772,20145,ACT,ACT180
A00202772,20146,ACT,ACT232
A00202772,20147,ACT,ACT251
A00325631,20333,HIS,HIS247
A00325631,20419,ENG,ENG121
A00325631,20742,AAA,AAA090
A00325631,21777,BUS,BUS115
A00137159,21697,COM,COM125
A00296399,20310,HIS,HIS102
A00296399,20503,ART,ART161
A00296399,20549,ART,ART251
A00296399,20667,COM,COM115
A00328369,21315,ART,ART124
A00324782,20517,ART,ART207
A00324782,21192,AVT,AVT101
A00324782,21195,AVT,AVT103
A00324782,21197,AVT,AVT105
A00324782,21211,AVT,AVT116
A00313110,20583,LIT,LIT115
A00313110,20737,AAA,AAA090
A00313110,20974,ENG,ENG121
A00313110,21553,AIMS,AIMS220
A00313110,21705,MAT,MAT050
A00307083,20775,HPR,HPR180
A00307083,21142,BIO,BIO202
A00307083,21145,BIO,BIO204
A00309927,21132,PED,PED104
A00309927,21154,ELT,ELT248
A00309195,20066,MAT,MAT135
A00309195,20080,MAT,MAT055
A00309195,20667,COM,COM115
A00309195,20993,HPR,HPR108
A00309195,21060,BIO,BIO111
A00321399,20204,PSY,PSY235
A00321399,21005,HPR,HPR178
A00324835,20053,MAT,MAT121
A00324835,20307,HIS,HIS101
A00324835,20972,CHE,CHE111
A00273729,20204,PSY,PSY235
A00273729,20673,COM,COM125
A00183803,20781,NUA,NUA101
A00183803,20782,NUA,NUA170
A00321382,20022,CRJ,CRJ110
A00321382,20025,CRJ,CRJ125
A00321382,20026,CRJ,CRJ145
A00321382,20027,CRJ,CRJ135
A00324834,20692,COM,COM115
A00324834,20791,ETH,ETH200
A00324834,21686,MAT,MAT050
A00324834,21758,AAA,AAA090
A00313459,20697,EMS,EMS121
A00313459,20698,EMS,EMS122
A00313459,20700,EMS,EMS123
A00313459,20702,EMS,EMS124
A00313459,20704,EMS,EMS170
A00285853,20280,PSY,PSY217
A00285853,20288,ANT,ANT101
A00285853,20583,LIT,LIT115
A00316071,20195,PSY,PSY235
A00316071,20582,LIT,LIT115
A00316071,20671,COM,COM125
A00316071,21071,BIO,BIO105
A00313468,21330,WEL,WEL100
A00313468,21497,WEL,WEL101
A00276163,20295,ECO,ECO201
A00276163,20299,ECO,ECO202
A00276163,20889,BUS,BUS217
A00316072,20434,MAT,MAT201
A00316072,20622,CHE,CHE111
A00316072,20693,ENG,ENG122
A00321194,20316,HIS,HIS121
